name,phone,address,city,state,category,rating,reviews,website,location_link,working_hours_csv_compatible
Pellegrino Restaurante,+55 31 2526-1085,"R. Laranjal, 459 - Anchieta, Belo Horizonte - MG, 30310-700, Brasil",Belo Horizonte,Minas Gerais,restaurantes,4.6,1354,,"https://www.google.com/maps/place/Pellegrino+Restaurante/@-19.9491616,-43.9308221,14z/data=!4m8!1m2!2m1!1sPellegrino+Restaurante!3m4!1s0xa699cce951400f:0x877f1f2cb0cee54e!8m2!3d-19.9491616!4d-43.9308221",
Dona Fulô | BH,+55 31 2516-8973,"R. Santa Catarina, 778 - Lourdes, Belo Horizonte - MG, 30170-081, Brasil",Belo Horizonte,Minas Gerais,restaurantes,4.8,2136,,"https://www.google.com/maps/place/Dona+Ful%C3%B4+%7C+BH/@-19.9274897,-43.9452621,14z/data=!4m8!1m2!2m1!1sDona+Ful%C3%B4+%7C+BH!3m4!1s0xa697de1675469f:0xa49740a0c7e5de3!8m2!3d-19.9274897!4d-43.9452621",
Pátria - Cozinha do Brasil,+55 31 98421-8664,"Av. Celso Porfírio Machado, 1520 - Belvedere, Belo Horizonte - MG, 30320-400, Brasil",Belo Horizonte,Minas Gerais,restaurantes,4.5,447,,"https://www.google.com/maps/place/P%C3%A1tria+-+Cozinha+do+Brasil/@-19.9629156,-43.9341036,14z/data=!4m8!1m2!2m1!1sP%C3%A1tria+-+Cozinha+do+Brasil!3m4!1s0xa6995a71618e77:0x9c2cc9ae156d43fb!8m2!3d-19.9629156!4d-43.9341036",
Verdinho Restaurante,+55 31 3293-4047,"Av. Cônsul Antônio Cadar, 122 - São Bento, Belo Horizonte - MG, 30360-000, Brasil",Belo Horizonte,Minas Gerais,restaurantes,4.4,2033,,"https://www.google.com/maps/place/Verdinho+Restaurante/@-19.9551881,-43.9504263,14z/data=!4m8!1m2!2m1!1sVerdinho+Restaurante!3m4!1s0xa6978f71b523b7:0x2ff5a495180fa9d8!8m2!3d-19.9551881!4d-43.9504263",
Cozinha da Roça,+55 31 99856-5563,"R. Curitiba, 1329 - Centro, Belo Horizonte - MG, 30170-121, Brasil",Belo Horizonte,Minas Gerais,restaurantes,4.4,1488,,"https://www.google.com/maps/place/Cozinha+da+Ro%C3%A7a/@-19.9244611,-43.9426917,14z/data=!4m8!1m2!2m1!1sCozinha+da+Ro%C3%A7a!3m4!1s0xa699e1ea20710d:0x348057d1eb1cff88!8m2!3d-19.9244611!4d-43.9426917",
Restaurante Sabor Brasil,+55 31 3223-6997,"R. Grão Mogol, 285 - Carmo, Belo Horizonte - MG, 30310-010, Brasil",Belo Horizonte,Minas Gerais,restaurantes,4.7,409,,"https://www.google.com/maps/place/Restaurante+Sabor+Brasil/@-19.9424463,-43.9324608,14z/data=!4m8!1m2!2m1!1sRestaurante+Sabor+Brasil!3m4!1s0xa699cfba86522d:0xa895b26d4b0177d2!8m2!3d-19.9424463!4d-43.9324608",
A Granel,+55 31 3375-7051,"Rua Coração Eucarístico de Jesus, 265 - Coração Eucarístico, Belo Horizonte - MG, 30535-460, Brasil",Belo Horizonte,Minas Gerais,restaurantes,4.4,6813,,"https://www.google.com/maps/place/A+Granel/@-19.9259469,-43.990077299999996,14z/data=!4m8!1m2!2m1!1sA+Granel!3m4!1s0xa696fa67566a3b:0xa2b05b51021969c8!8m2!3d-19.9259469!4d-43.990077299999996",
A Granel Espaço Gourmet,+55 31 3274-3445,"R. São Paulo, 957 - Centro, Belo Horizonte - MG, 30170-130, Brasil",Belo Horizonte,Minas Gerais,restaurantes,4.4,619,,"https://www.google.com/maps/place/A+Granel+Espa%C3%A7o+Gourmet/@-19.922254,-43.9407073,14z/data=!4m8!1m2!2m1!1sA+Granel+Espa%C3%A7o+Gourmet!3m4!1s0xa699e398a9996d:0xaac658b1e6cf348a!8m2!3d-19.922254!4d-43.9407073",
Restaurante Dragon Center,+55 31 3287-3688,"R. Fernandes Tourinho, 455 - Savassi, Belo Horizonte - MG, 30112-000, Brasil",Belo Horizonte,Minas Gerais,restaurantes,4.5,2540,,"https://www.google.com/maps/place/Restaurante+Dragon+Center/@-19.9388889,-43.938888899999995,14z/data=!4m8!1m2!2m1!1sRestaurante+Dragon+Center!3m4!1s0xa699d9fdead735:0xfa45260dbf5ea40c!8m2!3d-19.9388889!4d-43.938888899999995",
Restaurante Origem,+55 31 3224-4855,"Rua dos Otoni, 726 - Santa Efigênia, Belo Horizonte - MG, 30150-270, Brasil",Belo Horizonte,Minas Gerais,restaurantes,4.5,501,,"https://www.google.com/maps/place/Restaurante+Origem/@-19.9255249,-43.9270731,14z/data=!4m8!1m2!2m1!1sRestaurante+Origem!3m4!1s0xa699ec5f331cd1:0x50db67982d9f573c!8m2!3d-19.9255249!4d-43.9270731",
Restaurante Chen Chang Kee Noodle House - Galeria BH,+55 31 97534-7710,"R. Curitiba, 130 - Centro, Belo Horizonte - MG, 30170-120, Brasil",Belo Horizonte,Minas Gerais,restaurantes,4.7,1065,,"https://www.google.com/maps/place/Restaurante+Chen+Chang+Kee+Noodle+House+-+Galeria+BH/@-19.913766,-43.9400577,14z/data=!4m8!1m2!2m1!1sRestaurante+Chen+Chang+Kee+Noodle+House+-+Galeria+BH!3m4!1s0xa699febfdb603b:0x26bb4ee37f172561!8m2!3d-19.913766!4d-43.9400577",
