id,name,phone,category,rating,reviews,city,location_link,score,status,data_contato,observacao
1,Pellegrino Restaurante,+55 31 2526-1085,restaurantes,4.6,1354,Belo Horizonte,"https://www.google.com/maps/place/Pellegrino+Restaurante/@-19.9491616,-43.9308221,14z/data=!4m8!1m2!2m1!1sPellegrino+Restaurante!3m4!1s0xa699cce951400f:0x877f1f2cb0cee54e!8m2!3d-19.9491616!4d-43.9308221",6,novo,,
2,Dona Fulô | BH,+55 31 2516-8973,restaurantes,4.8,2136,Belo Horizonte,"https://www.google.com/maps/place/Dona+Ful%C3%B4+%7C+BH/@-19.9274897,-43.9452621,14z/data=!4m8!1m2!2m1!1sDona+Ful%C3%B4+%7C+BH!3m4!1s0xa697de1675469f:0xa49740a0c7e5de3!8m2!3d-19.9274897!4d-43.9452621",6,novo,,
11,Restaurante Dragon Center,+55 31 3287-3688,restaurantes,4.5,2540,Belo Horizonte,"https://www.google.com/maps/place/Restaurante+Dragon+Center/@-19.9388889,-43.938888899999995,14z/data=!4m8!1m2!2m1!1sRestaurante+Dragon+Center!3m4!1s0xa699d9fdead735:0xfa45260dbf5ea40c!8m2!3d-19.9388889!4d-43.938888899999995",6,novo,,
12,Restaurante Chen Chang Kee Noodle House - Galeria BH,+55 31 97534-7710,restaurantes,4.7,1065,Belo Horizonte,"https://www.google.com/maps/place/Restaurante+Chen+Chang+Kee+Noodle+House+-+Galeria+BH/@-19.913766,-43.9400577,14z/data=!4m8!1m2!2m1!1sRestaurante+Chen+Chang+Kee+Noodle+House+-+Galeria+BH!3m4!1s0xa699febfdb603b:0x26bb4ee37f172561!8m2!3d-19.913766!4d-43.9400577",6,novo,,
3,Pátria - Cozinha do Brasil,+55 31 98421-8664,restaurantes,4.5,447,Belo Horizonte,"https://www.google.com/maps/place/P%C3%A1tria+-+Cozinha+do+Brasil/@-19.9629156,-43.9341036,14z/data=!4m8!1m2!2m1!1sP%C3%A1tria+-+Cozinha+do+Brasil!3m4!1s0xa6995a71618e77:0x9c2cc9ae156d43fb!8m2!3d-19.9629156!4d-43.9341036",5,novo,,
4,Verdinho Restaurante,+55 31 3293-4047,restaurantes,4.4,2033,Belo Horizonte,"https://www.google.com/maps/place/Verdinho+Restaurante/@-19.9551881,-43.9504263,14z/data=!4m8!1m2!2m1!1sVerdinho+Restaurante!3m4!1s0xa6978f71b523b7:0x2ff5a495180fa9d8!8m2!3d-19.9551881!4d-43.9504263",5,novo,,
5,Cozinha da Roça,+55 31 99856-5563,restaurantes,4.4,1488,Belo Horizonte,"https://www.google.com/maps/place/Cozinha+da+Ro%C3%A7a/@-19.9244611,-43.9426917,14z/data=!4m8!1m2!2m1!1sCozinha+da+Ro%C3%A7a!3m4!1s0xa699e1ea20710d:0x348057d1eb1cff88!8m2!3d-19.9244611!4d-43.9426917",5,novo,,
6,Restaurante Sabor Brasil,+55 31 3223-6997,restaurantes,4.7,409,Belo Horizonte,"https://www.google.com/maps/place/Restaurante+Sabor+Brasil/@-19.9424463,-43.9324608,14z/data=!4m8!1m2!2m1!1sRestaurante+Sabor+Brasil!3m4!1s0xa699cfba86522d:0xa895b26d4b0177d2!8m2!3d-19.9424463!4d-43.9324608",5,novo,,
7,A Granel,+55 31 3375-7051,restaurantes,4.4,6813,Belo Horizonte,"https://www.google.com/maps/place/A+Granel/@-19.9259469,-43.990077299999996,14z/data=!4m8!1m2!2m1!1sA+Granel!3m4!1s0xa696fa67566a3b:0xa2b05b51021969c8!8m2!3d-19.9259469!4d-43.990077299999996",5,novo,,
8,A Granel Espaço Gourmet,+55 31 3274-3445,restaurantes,4.4,619,Belo Horizonte,"https://www.google.com/maps/place/A+Granel+Espa%C3%A7o+Gourmet/@-19.922254,-43.9407073,14z/data=!4m8!1m2!2m1!1sA+Granel+Espa%C3%A7o+Gourmet!3m4!1s0xa699e398a9996d:0xaac658b1e6cf348a!8m2!3d-19.922254!4d-43.9407073",5,novo,,
9,Restaurante Cheiro Verde,+55 31 3646-1580,restaurantes,4.3,815,Belo Horizonte,"https://www.google.com/maps/place/Restaurante+Cheiro+Verde/@-19.9210928,-43.9416017,14z/data=!4m8!1m2!2m1!1sRestaurante+Cheiro+Verde!3m4!1s0xa699e2fc75acf9:0x521abc867a3829f3!8m2!3d-19.9210928!4d-43.9416017",5,novo,,
14,Restaurante Cheiro Verde,+55 31 3222-8851,restaurantes,4.1,994,Belo Horizonte,"https://www.google.com/maps/place/Restaurante+Cheiro+Verde/@-19.9177611,-43.9369704,14z/data=!4m8!1m2!2m1!1sRestaurante+Cheiro+Verde!3m4!1s0xa699fbaee00565:0xa8614b7b1eca5404!8m2!3d-19.9177611!4d-43.9369704",5,novo,,
10,Barolio Savassi,+55 31 3665-8049,restaurantes,4.3,375,Belo Horizonte,"https://www.google.com/maps/place/Barolio+Savassi/@-19.937447,-43.932408099999996,14z/data=!4m8!1m2!2m1!1sBarolio+Savassi!3m4!1s0xa699aad09ecadb:0xadb8bc738fc58f49!8m2!3d-19.937447!4d-43.932408099999996",4,novo,,
13,Restaurante Nossa Casa,+55 31 98303-2631,restaurantes,4.4,235,Belo Horizonte,"https://www.google.com/maps/place/Restaurante+Nossa+Casa/@-19.9277297,-43.9308165,14z/data=!4m8!1m2!2m1!1sRestaurante+Nossa+Casa!3m4!1s0xa699e939ed596d:0x368e3d370a3320fb!8m2!3d-19.9277297!4d-43.9308165",4,novo,,
